term,brd & ggp & panc,brd & ggp & kras-mapk,panc & ggp & kras-mapk,brd & ggp & kras-mapk & panc,panc & ggp & kras-mapk set,brd & ggp set,GGP & Panc connection,BRD & GGP connection,,,,,,,,,,,,,,,,,,,,,,,,,
cyclin d1,0,1,37,0,"{18805632, 16146690, 12021893, 22118662, 15652748, 24520077, 23019409, 20642839, 23308056, 20682659, 11102889, 20858281, 22393391, 19125423, 27624879, 24608432, 24389175, 19029954, 23237571, 17520196, 15572689, 29059158, 17667542, 26138072, 17569628, 25632222, 16382049, 25632225, 24076388, 21084261, 11159909, 20717927, 24552806, 11751405, 25050737, 20113529, 22287227}","{32828291, 30308485, 27440272, 32774672, 30272279, 16475162, 32371868, 28663582, 29596834, 30135075, 34199844, 34634662, 19244327, 32954665, 28059436, 32163373, 30529073, 34519605, 18406326, 26586936, 32771387, 30933440, 22595521, 32978368, 32678475, 29133261, 29725006, 17998543, 27572308, 25277525, 36284375, 29866840, 32110043, 31036508, 33531996, 27520485, 29050985, 35472745, 35831279, 29545201, 32551032}", ,,icg 001,,,,,,,pi3k,tgr 1202,HY-L025-24,G08,HY-12279,Umbralisib,TGR-1202; RP5264,1532533-67-7,571.55,Casein Kinase; PI3K,Cell Cycle/DNA Damage; PI3K/Akt/mTOR; Stem Cell/Wnt,"Umbralisib (TGR-1202) is an orally active, potent and selective dual PI3Kδ and casein kinase-1-ε (CK1ε) inhibitor, with EC50 of 22.2 nM and 6.0 μM, respectively. Umbralisib exhibits unique immunomodulatory effects on chronic lymphocytic leukemia (CLL) T cells. Umbralisib can be used for haematological malignancies reseach[1][2][3][4].",C31H24F3N5O3,DMSO : 25 mg/mL (43.74 mM; Need ultrasonic),10mM,Cancer,Launched,O=C1C(C2=CC=CC(F)=C2)=C([C@@H](N3N=C(C4=CC=C(OC(C)C)C(F)=C4)C5=C(N)N=CN=C53)C)OC6=CC=C(F)C=C16
tumorigenicity,0,1,37,0,"{12105858, 26477314, 20179210, 31557131, 24520077, 20553613, 33034134, 27067801, 22752926, 31527715, 31174057, 35177646, 23227827, 18413748, 10554036, 36123703, 9024823, 31075266, 32029124, 15367885, 32988878, 12806617, 26590425, 9598810, 31233118, 24550494, 18769120, 21266529, 24409315, 25306215, 31526907, 28381547, 35893867, 26544625, 12447993, 25065594, 34657147}","{23137537, 35601153, 23686307, 37201092, 30232453, 35371302, 20228809, 32380205, 26919247, 24525235, 31076403, 33135348, 35902869, 34791636, 32913560, 30659195, 33850013, 24721791}", ,,#N/A,,,,,,,pi3k,su6656,HY-L025-69,E11,HY-B0789,SU6656,,330161-87-0,371.45,Akt; FAK; Src,PI3K/Akt/mTOR; Protein Tyrosine Kinase/RTK,"SU6656 is a Src family kinases inhibitor with IC50s of 280, 20, 130, 170 nM for Src, Yes, Lyn, and Fyn, respectively. SU6656 inhibits FAK phosphorylation at Y576/577, Y925, Y861 sites. SU6656 also inhibits p-AKT.",C19H21N3O3S,DMSO : 20 mg/mL (53.84 mM; Need ultrasonic),10mM,Cancer,No Development Reported,O=S(C1=CC2=C(NC(/C2=C\C(N3)=CC4=C3CCCC4)=O)C=C1)(N(C)C)=O
tumor suppressors,0,1,37,0,"{15929091, 29956741, 34395269, 25724428, 28581516, 34205964, 32949395, 12605716, 30342036, 26439702, 31832601, 12647072, 22222375, 36139432, 33574569, 28894253, 30504367, 23552700, 31780287, 36325577, 36096460, 21984975, 19443408, 36505808, 17659731, 26899542, 36765914, 31233118, 23407711, 33483239, 35399143, 28414320, 32012917, 14681207, 9219065, 26036346, 21665147}","{24632608, 33876771, 23325510, 30067623, 32071334, 35787399, 30087114, 24836559, 22231120, 32453591, 24794707, 35715442, 29383095, 34097087}", ,,#N/A,,,,,,,pi3k,zd1839,HY-L025-64,B06,HY-50895,Gefitinib,ZD1839,184475-35-2,446.9,Apoptosis; Autophagy; EGFR,Apoptosis; Autophagy; JAK/STAT Signaling; Protein Tyrosine Kinase/RTK,"Gefitinib (ZD1839) is a potent, selective and orally active EGFR tyrosine kinase inhibitor with an IC50 of 33 nM. Gefitinib selectively inhibits EGF-stimulated tumor cell growth (IC50 of 54 nM) and that blocks EGF-stimulated EGFR autophosphorylation in tumor cells. Gefitinib also induces autophagy and cell apoptosis, which can be used for cancer related research, such as Lung cancer and breast cancer [1][2][5].",C22H24ClFN4O3,DMSO : 125 mg/mL (279.70 mM; Need ultrasonic),10mM,Cancer,Launched,ClC1=C(C=CC(NC2=NC=NC3=C2C=C(C(OC)=C3)OCCCN4CCOCC4)=C1)F
vimentin,0,0,37,0,"{21285251, 35197444, 32081541, 17516553, 22083596, 31817229, 27914516, 26451606, 27067801, 23786654, 36788090, 35205666, 32747685, 19002021, 31963309, 26962861, 21683373, 33045679, 26770358, 30838710, 31920328, 31949640, 17879119, 9639120, 22291919, 7728976, 26609108, 26884312, 34150617, 26951514, 10069471, 22806240, 32896616, 22884073, 23803380, 28981109, 31988090}","{35403781, 34160902, 29237530, 33664670, 30618144, 34378541, 29997232, 32923445, 34519605, 34097087, 27297869, 25362514, 34175826, 25716692, 24655834, 34053984, 25466466, 36568944, 28545522}", ,,curcumin,,,,,,,raf,ly294002,HY-L025-4,F05,HY-10108,LY294002,,154447-36-6,307.34,Apoptosis; Autophagy; Casein Kinase; DNA-PK; PI3K,Apoptosis; Autophagy; Cell Cycle/DNA Damage; PI3K/Akt/mTOR; Stem Cell/Wnt,"LY294002 is a broad-spectrum inhibitor of PI3K with IC50s of 0.5, 0.57, and 0.97 μM for PI3Kα, PI3Kδ and PI3Kβ, respectively[1]. LY294002 also inhibits CK2 with an IC50 of 98 nM[2]. LY294002 is a competitive DNA-PK inhibitor that binds reversibly to the kinase domain of DNA-PK with an IC50 of 1.4?μM. LY294002 is an apoptosis activator[3].",C19H17NO3,DMSO : 50 mg/mL (162.69 mM; Need ultrasonic); Ethanol : 50 mg/mL (162.69 mM; Need ultrasonic),10mM,Cancer; Infection,No Development Reported,O=C1C=C(OC2=C1C=CC=C2C3=CC=CC=C3)N4CCOCC4
malignant transformation,0,1,36,0,"{30918400, 28445953, 9586823, 25461770, 25250570, 22384141, 11677475, 15040037, 19292977, 22078386, 34089011, 25905463, 25029561, 20067773, 28942143, 24386371, 21699781, 28188746, 21207374, 23887057, 18089810, 30283732, 31076568, 15591514, 22430298, 25248858, 26951514, 23408353, 29303908, 31341034, 24026351, 16979953, 23431158, 18549880, 9219065, 10415866}","{23137537, 30696633, 27520485, 33144329, 20581866, 32079723, 29246955, 25111821, 33835000, 26840085, 25065590, 33144118, 28213432, 29050361, 32992343}", ,,#N/A,,,,,,,raf,forskolin,HY-L025-51,G04,HY-15371,Forskolin,Coleonol; Colforsin; HL 362,66575-29-9,410.5,Adenylate Cyclase; Autophagy; FXR,Autophagy; GPCR/G Protein; Metabolic Enzyme/Protease,"Forskolin (Coleonol) is a potent adenylate cyclase activator with an IC50 of 41 nM and an EC50 of 0.5 μM for type I adenylyl cyclase[1]. Forskolin is also an inducer of intracellular cAMP formation[2]. Forskolin induces differentiation of various cell types and activates pregnane X receptor (PXR) and FXR[3]. Forskolin exerts a inotropic effect on the heart, and has platelet antiaggregatory and antihypertensive actions. Forskolin also induces autophagy[4][5].",C22H34O7,DMSO : 100 mg/mL (243.61 mM; Need ultrasonic),10mM,Cancer; Endocrinology; Metabolic Disease; Inflammation/Immunology,No Development Reported,O=C1[C@@]2(O)[C@]([C@@H](OC(C)=O)[C@@H](O)[C@@]3([H])C(C)(C)CC[C@H](O)[C@@]32C)(C)O[C@@](C)(C=C)C1
cancer initiation,0,0,35,0,"{27415425, 25623042, 27477511, 30533257, 36912021, 26451606, 30214681, 23639840, 24788257, 32900774, 36514219, 27215660, 23712558, 21951538, 35530290, 33824054, 33344439, 36325577, 30967626, 26929740, 23376846, 24694735, 24889936, 34547282, 27364947, 21738581, 31325400, 37250781, 27941872, 25452273, 35800049, 27402485, 26697077, 23431158, 26715642}","{34681760, 29393731, 29716963, 31142662, 36224430, 33143730, 26111795, 37162970, 26206333}", ,,#N/A,,,,,,,raf,tak 632,HY-L025-54,A08,HY-15767,TAK-632,,1228591-30-7,554.52,Aurora Kinase; Raf,Cell Cycle/DNA Damage; Epigenetics; MAPK/ERK Pathway,"TAK-632 is a potent pan-RAF inhibitor with IC50 of 1.4, 2.4 and 8.3 nM for CRAF, BRAFV600E, BRAFWT, respectively.",C27H18F4N4O3S,DMSO : 100 mg/mL (180.34 mM; Need ultrasonic),10mM,Cancer,No Development Reported,O=C(NC1=CC(OC2=CC=C3N=C(NC(C4CC4)=O)SC3=C2C#N)=CC=C1F)CC5=CC=CC(C(F)(F)F)=C5
dna methylation,0,1,34,0,"{30149376, 35864067, 25461770, 28581516, 33060108, 32520974, 34727952, 32949395, 18266003, 34944918, 35116442, 21472283, 26617245, 30226601, 26023084, 36353587, 26684859, 33505218, 36760387, 21573703, 33420235, 34198989, 24976721, 33521362, 32898003, 32576853, 21381080, 32457835, 33144687, 26544625, 21886451, 37108468, 36359417, 34508795}","{36839169, 29149060, 25512710, 28095495, 23566090, 33256844, 36934287, 36737807, 25621778, 31749139, 31075731, 37111316, 36385171, 27767195, 29534238, 34336926, 30719265, 32938017, 31080358, 25713319, 30672294, 34793513, 28035374, 33792558, 35052850, 23054645, 25575605, 26178744, 32246716, 36577469, 34070078, 32989249, 31164355, 20107077, 26812616, 33575113, 31780938, 26458440, 37173708, 31868237, 36674511, 28332497, 30582481, 33284950, 32762714, 28169463, 32526941, 34309725, 30719712, 37120098, 33190371, 27273316, 34617061, 25415526, 26618343, 26111464, 28279785, 31363048, 33605616, 18778484, 34830196, 35653238, 26814967, 35467128, 34715126, 16085498, 21321083, 27246590}", ,,#N/A,,,,,,,raf,bgb 283,HY-L025-60,G05,HY-18957,Lifirafenib,BGB-283,1446090-79-4,478.42,EGFR; Raf,JAK/STAT Signaling; MAPK/ERK Pathway; Protein Tyrosine Kinase/RTK,"Lifirafenib (BGB-283) is a novel and potent Raf Kinase and EGFR inhibitor with IC50 values of 23 and 29 nM for recombinant BRafV600E and EGFR, respectively.",C25H17F3N4O3,DMSO : ≥ 100 mg/mL (209.02 mM),10mM,Cancer,Phase 2,O=C1NC2=NC=CC(OC3=CC=C(O[C@@]4([H])[C@]5([H])[C@@H]4C6=NC7=CC=C(C(F)(F)F)C=C7N6)C5=C3)=C2CC1
metabolic reprogramming,0,1,34,0,"{25595905, 31508487, 32046984, 34069772, 32816911, 37187730, 37021976, 34331036, 28647837, 35525794, 37152291, 36151074, 31611300, 24704294, 27461042, 33546421, 36123703, 27600832, 34398147, 33833413, 34660806, 24794439, 36408139, 30470748, 24743516, 33188080, 35261808, 26164081, 37108468, 30819189, 34398070, 34064761, 22541435, 31911550}","{35453346, 34579723, 34987057, 29764852, 35002741, 34503062, 36963289, 37162970, 30037819}", ,,#N/A,,,,,,,raf,dasatinib,HY-L025-6,D08,HY-10181B,Dasatinib (monohydrate),BMS-354825 (monohydrate),863127-77-9,506.02,Apoptosis; Autophagy; Bcr-Abl; Src,Apoptosis; Autophagy; Protein Tyrosine Kinase/RTK,"Dasatinib (BMS-354825) monohydrate is a highly potent, ATP competitive, orally active dual Src/Bcr-Abl inhibitor with potent antitumor activity. The Kis are 16 pM and 30 pM for Src and Bcr-Abl, respectively.  Dasatinib monohydrate inhibits Bcr-Abl and Src with IC50s of <1.0 nM and 0.5 nM, respectively[1]. Dasatinib monohydrate also induces apoptosis and autophagy.",C22H28ClN7O3S,10 mM in DMSO,10mM,Cancer,Launched,O=C(C1=CN=C(NC2=NC(C)=NC(N3CCN(CCO)CC3)=C2)S1)NC4=C(C)C=CC=C4Cl.[H]O[H]
β catenin,0,2,33,0,"{24875648, 29956741, 26477318, 33279497, 23749643, 31330317, 32972302, 32774415, 23019409, 25003666, 31952541, 27655713, 29596326, 24067880, 32434991, 23303473, 29072694, 30142009, 30809277, 33839689, 23887057, 20814421, 31154393, 25593307, 26297056, 21084261, 26411367, 25305448, 26714478, 27889647, 30514931, 31988090, 22287227}","{32828291, 34160902, 36120591, 35499161, 30134175, 33957539, 29519268, 35135529, 32068780, 30661164, 35259053, 28187439, 35411247, 34763437, 34370992, 30876979, 26367796, 25961913, 33667649, 26983878, 29600711, 30643017, 35096137, 36567628, 27717711, 30829648, 27935314, 33158995, 35514200, 32046432, 24198243, 29716963, 31724259, 26833129, 33515627, 29507187}", ,,atra,,,,,,,raf,gsk2118436,HY-L025-46,C11,HY-14660,Dabrafenib,GSK2118436A; GSK2118436,1195765-45-7,519.56,Raf,MAPK/ERK Pathway,"Dabrafenib (GSK2118436A) is an ATP-competitive inhibitor of Raf with IC50s of 5 nM and 0.6 nM for C-Raf and B-RafV600E, respectively[4].",C23H20F3N5O2S2,DMSO : ≥ 33 mg/mL (63.52 mM),10mM,Cancer,Launched,CC(C)(C)C1=NC(C2=C(F)C(NS(C3=C(F)C=CC=C3F)(=O)=O)=CC=C2)=C(C4=CC=NC(N)=N4)S1
small interfering rna,0,0,33,0,"{17018633, 23689354, 25411978, 24403857, 17671195, 26616862, 27147553, 20682659, 15801000, 29486633, 25997867, 16357163, 30504367, 16166322, 23608755, 18413748, 22441145, 31413817, 26214202, 17974973, 17489984, 18349132, 25894862, 30315093, 29039574, 16046552, 18784349, 23427041, 24809702, 17114344, 17353198, 17942900, 26682870}","{29878401, 21900162, 34591491, 35787399, 16954381, 23596302, 36247184, 35902869, 24733848, 28848040, 31325480, 25961913, 32962745, 15507644, 23115324, 30206781, 23365439, 18480452, 26349765, 23128391, 28146632, 31868237, 28806224, 35006928, 23420887, 34392152, 28418907, 29321313, 28636389, 30062054, 22699752, 20926576, 36568944}", ,,#N/A,,,,,,,raf,ch5126766,HY-L025-59,H07,HY-18652,Avutometinib,Ro 5126766; CH5126766,946128-88-7,471.46,MEK; Raf,MAPK/ERK Pathway,"Avutometinib (Ro 5126766) is a first-in-class dual MEK/RAF inhibitor that allosterically inhibits BRAFV600E, CRAF, MEK, and BRAF  (IC50: 8.2, 56, 160 nM, and 190 nM, respectively).",C21H18FN5O5S,DMSO : 125 mg/mL (265.13 mM; Need ultrasonic),10mM,Cancer,Phase 2,O=S(NC)(NC1=NC=CC(CC2=C(C)C3=CC=C(OC4=NC=CC=N4)C=C3OC2=O)=C1F)=O
rnai,0,2,33,0,"{22471946, 26009994, 25724428, 15652748, 18949011, 29108249, 27147553, 15801000, 36790955, 15682475, 21536687, 19671674, 24484537, 21385921, 22868929, 22086851, 19029954, 34578632, 31949640, 28389707, 32264398, 21207374, 16046552, 25143389, 23427041, 24552806, 32262384, 24395249, 24902898, 34998392, 21289082, 35819261, 34180478}","{34346116, 31000582, 26620551, 22493065, 24657164, 31551256, 27233051, 31253147, 33006750, 33907746, 34037670, 22623531, 35904816, 29148850, 26367798, 23479607, 21814200, 30057145, 32771387, 34084283, 17189189, 23249862, 28146632, 26253517, 32382029, 25242322, 24794707, 29078358, 27917784, 33310044, 30455393, 24349540, 28636389, 34593637, 30846826, 26139243, 32151278, 32042871, 27846392, 32793596}", ,,#N/A,,,,,,,raf,egcg,HY-L025-38,C03,HY-13653,(-)-Epigallocatechin Gallate,EGCG; Epigallocatechol Gallate,989-51-5,458.37,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease,"(-)-Epigallocatechin Gallate (EGCG) is a major polyphenol in green tea, which can inhibit cell proliferation and induce cell apoptosis. (-)-Epigallocatechin Gallate inhibits glutamate dehydrogenase 1/2 (GDH1/2, GLUD1/2) activity. (-)-Epigallocatechin Gallate has a potent anticancer, antioxidant and anti-inflammatory properties against various types of cancers such as colorectal cancer, myeloid leukemia, thyroid carcinoma[1][2][3][4].",C22H18O11,DMSO : ≥ 30 mg/mL (65.45 mM); H2O : 20 mg/mL (43.63 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology,Phase 4,O=C(O[C@H]1[C@@H](C2=CC(O)=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C3C1)C4=CC(O)=C(O)C(O)=C4
tumour growth,0,0,33,0,"{32913288, 31626255, 17582609, 33649045, 36991126, 24305049, 29533466, 15714203, 30038429, 37198494, 30007968, 36619305, 22393391, 33491761, 35428659, 37210549, 21970876, 35604033, 30061636, 25152585, 20978506, 35896270, 16052215, 25841238, 33230296, 21395550, 33126623, 26077929, 23535601, 28419443, 27402485, 26522614, 31088502}","{27292261, 24518598, 33536620, 31927213, 33080301, 30098223, 32771023, 32398865, 35568976, 31932756, 23828858, 28927100}", ,,#N/A,,,,,,,raf,rg7204,HY-L025-23,A02,HY-12057,Vemurafenib,PLX4032; RG7204; RO5185426,918504-65-1,489.92,Autophagy; Raf,Autophagy; MAPK/ERK Pathway,"Vemurafenib (PLX4032) is a first-in-class, selective, potent inhibitor of B-RAF kinase, with IC50s of 31 and 48 nM for RAFV600E and c-RAF-1, respectively[1][4]. Vemurafenib induces cell autophagy[5].",C23H18ClF2N3O3S,DMSO : 50 mg/mL (102.06 mM; Need ultrasonic),10mM,Cancer,Launched,FC1=CC=C(C(F)=C1C(C2=CNC3=NC=C(C=C32)C4=CC=C(C=C4)Cl)=O)NS(CCC)(=O)=O
snail,0,1,33,0,"{21285251, 35197444, 35718922, 31817229, 23761168, 21304978, 26451606, 35205666, 19362090, 27624879, 37105075, 24389175, 24040120, 24330423, 19860666, 34859959, 24944064, 21288898, 22086851, 31920328, 24880079, 29367759, 27364947, 19179606, 34150617, 26951514, 19010789, 35838183, 28414315, 21364589, 22041584, 25050737, 36882420}","{36599264, 31908099, 33757572, 31114028, 34378541, 36120591, 36690674, 30529267, 36768307, 33006750, 32793596, 31653342, 31311807}", ,,curcumin,,,,,,,raf,pazopanib,HY-L025-22,B04,HY-12009,Pazopanib (Hydrochloride),GW786034 (Hydrochloride),635702-64-6,473.98,Autophagy; c-Fms; c-Kit; FGFR; PDGFR; VEGFR,Autophagy; Protein Tyrosine Kinase/RTK,"Pazopanib Hydrochloride (GW786034 Hydrochloride) is a novel multi-target inhibitor of VEGFR1, VEGFR2, VEGFR3, PDGFRβ, c-Kit, FGFR1, and c-Fms with an IC50 of 10, 30, 47, 84, 74, 140 and 146 nM, respectively.",C21H24ClN7O2S,DMSO : 10 mg/mL (21.10 mM; Need ultrasonic); H2O : < 0.1 mg/mL (ultrasonic;warming;heat to 60°C) (insoluble),10mM,Cancer,Launched,CC1=CC=C(C=C1S(N)(=O)=O)NC2=NC=CC(N(C3=CC4=NN(C(C)=C4C=C3)C)C)=N2.Cl
killing,0,1,33,0,"{34331012, 35907592, 15580305, 33682329, 32862105, 28891811, 18430374, 25963558, 24282278, 23613993, 33008426, 12850474, 15890097, 16166322, 27323830, 27322423, 22347323, 33815107, 36760387, 31912905, 19062734, 29780561, 21836633, 26097885, 25632222, 33763295, 27096033, 35402225, 23475955, 23422836, 31456633, 21573499, 26052093}","{34782346, 31040907, 26658189, 35755278, 34696466, 33004947, 31653272, 36458010, 29228703, 35952671, 33420321, 33907746, 25049379, 33619107, 28766886, 28336808, 36711980, 32642733, 35904816, 28069687, 32196028, 31534014, 29636547, 36260688, 33741395, 35132755, 28765013, 35332309, 31937753, 32329693, 32575711, 35146591, 34753889, 30674532, 34215653, 34279931, 30824188, 30475902, 25793663}", ,,#N/A,,,,,,,raf,plx4032,HY-L025-23,A02,HY-12057,Vemurafenib,PLX4032; RG7204; RO5185426,918504-65-1,489.92,Autophagy; Raf,Autophagy; MAPK/ERK Pathway,"Vemurafenib (PLX4032) is a first-in-class, selective, potent inhibitor of B-RAF kinase, with IC50s of 31 and 48 nM for RAFV600E and c-RAF-1, respectively[1][4]. Vemurafenib induces cell autophagy[5].",C23H18ClF2N3O3S,DMSO : 50 mg/mL (102.06 mM; Need ultrasonic),10mM,Cancer,Launched,FC1=CC=C(C(F)=C1C(C2=CNC3=NC=C(C=C32)C4=CC=C(C=C4)Cl)=O)NS(CCC)(=O)=O
wnt,0,2,32,0,"{24875648, 17956352, 28141826, 26909576, 23749643, 21734801, 19896093, 24216479, 29596326, 24067880, 17982507, 25855536, 18784821, 19860666, 15563452, 28551612, 31391551, 18310088, 27061193, 26185420, 24694735, 16042578, 20814421, 26590425, 29337182, 18725219, 26569573, 25305448, 29151594, 30410604, 27889647, 22900095}","{32828291, 19005066, 22829075, 35499161, 36121114, 33957539, 29519268, 35259053, 34763437, 34370992, 30876979, 26367796, 26367798, 34024119, 25961913, 33667649, 26983878, 29600711, 35681734, 30643017, 35096137, 36567628, 27717711, 30829648, 36252888, 21599968, 31900258, 31724259, 12941796, 36942693, 26833129, 29545201, 34344445}", ,,niclosamide,,,,,,,raf,lapatinib,HY-L025-64,B11,HY-50898B,Lapatinib (ditosylate monohydrate),GW572016 (ditosylate monohydrate); GW2016 (ditosylate monohydrate),388082-78-8,943.48,Autophagy; EGFR; Ferroptosis,Apoptosis; Autophagy; JAK/STAT Signaling; Protein Tyrosine Kinase/RTK,"Lapatinib ditosylate monohydrate (GW572016 ditosylate monohydrate) is a potent inhibitor of the ErbB-2 and EGFR tyrosine kinase domains with IC50 values against purified EGFR and ErbB-2 of 10.2 and 9.8 nM, respectively[1].",C43H44ClFN4O11S3,DMSO : 50 mg/mL (53.00 mM; ultrasonic and warming and heat to 60°C),10mM,Cancer,Launched,O=S(CCNCC1=CC=C(C2=CC3=C(NC4=CC=C(OCC5=CC=CC(F)=C5)C(Cl)=C4)N=CN=C3C=C2)O1)(C)=O.O=S(C6=CC=C(C)C=C6)(O)=O.O=S(C7=CC=C(C)C=C7)(O)=O.O
cdk4,0,2,32,0,"{33860102, 24858378, 34440587, 30271501, 26158861, 33472910, 30696953, 31745297, 20669973, 32234521, 28513565, 12055597, 19639215, 26770358, 9219065, 32109375, 33577028, 36719686, 36434634, 32626512, 12063826, 29059158, 34412631, 17569628, 37105116, 25219422, 34001634, 24076388, 11159909, 30254182, 32434425, 36346366}","{25053825, 31727874, 30308485, 11331592, 35249548, 35881485, 27440272, 25072021, 34954522, 28663582, 28042144, 37211680, 30135075, 27539364, 32393766, 27677740, 32793389, 33158576, 34385584, 36274096, 32694708, 36318650, 36755269, 36741704, 28604107, 30049486, 29725006, 27572308, 31226848, 27186656, 34942306, 26833129, 35149545, 26254443, 30057199, 28205554, 31160565, 30136059, 37252349}", ,,ly294002,,,,,,,raf,trametinib,HY-L025-14,D08,HY-10999A,Trametinib (DMSO solvate),GSK-1120212 (DMSO solvate); JTP-74057 (DMSO solvate),1187431-43-1,693.53,Apoptosis; MEK,Apoptosis; MAPK/ERK Pathway,Trametinib (DMSO solvate) (GSK-1120212 (DMSO solvate);JTP-74057 (DMSO solvate)) is an orally active MEK inhibitor that inhibits MEK1 and MEK2 with IC50s of about 2 nM. Trametinib (DMSO solvate) activates autophagy and induces apoptosis[1][2].,C28H29FIN5O5S,DMSO : 69 mg/mL (99.49 mM; Need ultrasonic),10mM,Cancer,Launched,CN1C(C(C)=C(N(C(N(C2=O)C3CC3)=O)C4=CC=CC(NC(C)=O)=C4)C2=C1NC5=CC=C(C=C5F)I)=O.CS(C)=O
mtor,0,1,30,0,"{19107333, 21521159, 21078544, 23361300, 26451606, 25500057, 27595930, 23232026, 28513565, 28810144, 21678117, 22116519, 23980075, 26034349, 23563181, 24791855, 24231729, 26257206, 21840189, 21871555, 27694919, 25143389, 25632222, 26725216, 25632225, 25601637, 25736685, 24717934, 15313904, 28918901}","{32599680, 30305285, 25535366, 35308165, 24930440, 33051401, 36051080, 30232459, 34716294, 27865874, 30305939, 35390226, 26840085, 35850772, 28837371, 34805786, 29228703, 30136059, 37211680, 31250978, 28553123, 30824188, 30308518, 32982695, 28653353, 25623213, 33154093, 28187439, 33158576, 30926641, 27573426, 31957165, 30365111, 36341561, 36318650, 34533562, 28118076, 29172540, 31632060, 35593209, 30933440, 30606790, 27496136, 35633739, 33688653, 35031886, 31814736, 26536665, 34557659, 31036508, 25564254, 26058079, 31226848, 33393503, 27864418, 34565342, 35942238, 27494885, 25307878, 29475942, 36623719, 35472745, 25537515, 36883564, 30104685, 35831279, 32174193, 31139698, 36871542, 33835000, 26663801, 27935867, 30266108, 30382078}", ,"Here, we targeted bromodomain 4 (BRD4) in combination with another molecular metabolic tumor driver, the Akt/mTOR signaling pathway, to provide a highly effective treatment for this neoplasm (35472745)",everolimus,,,,,,,raf,cudc 907,HY-L025-36,A06,HY-13522,Fimepinostat,CUDC-907,1339928-25-4,508.55,Apoptosis; HDAC; PI3K,Apoptosis; Cell Cycle/DNA Damage; Epigenetics; PI3K/Akt/mTOR,"Fimepinostat (CUDC-907) potently inhibits class I PI3Ks as well as classes I and II HDAC enzymes with an IC50 of  19/54/39 nM and 1.7/5.0/1.8/2.8 nM for PI3Kα/PI3Kβ/PI3Kδ and HDAC1/HDAC2/HDAC3/HDAC10 , respectively.",C23H24N8O4S,DMSO : 50 mg/mL (98.32 mM; Need ultrasonic); DMF : 5 mg/mL (9.83 mM; Need ultrasonic),10mM,Cancer,Phase 2,O=C(C1=CN=C(N(CC2=CC3=NC(C4=CC=C(OC)N=C4)=NC(N5CCOCC5)=C3S2)C)N=C1)NO
telomerase,0,0,28,0,"{34526722, 15753605, 12021894, 12021896, 24858378, 18266003, 9641882, 11490843, 35954337, 15112354, 19896100, 15084968, 10484017, 10734643, 28239030, 10436798, 18541514, 12483152, 17706193, 26899542, 26951514, 26118878, 21535200, 24919654, 32322667, 12094699, 10840305, 10822130}","{31900258, 21441348, 35385124, 34272171, 30661164, 34875179, 28854735, 32245330, 36332787, 32392533, 31549911, 34597402, 30419422}", ,,braco 19,,,,,,,raf,lovastatin,HY-L025-74,G03,HY-N0504,Lovastatin,Mevinolin,75330-75-5,404.54,Autophagy; Ferroptosis; HMG-CoA Reductase (HMGCR),Apoptosis; Autophagy; Metabolic Enzyme/Protease,Lovastatin is a cell-permeable HMG-CoA reductase inhibitor used to lower cholesterol.,C24H36O5,DMSO : ≥ 100 mg/mL (247.19 mM),10mM,Cardiovascular Disease; Cancer,Launched,O=C([C@@H](C)CC)O[C@@H]1[C@@]([C@H]2CC[C@@H](OC3=O)C[C@H](C3)O)([H])C(C=C[C@@H]2C)=C[C@H](C)C1
