C_term	B_term	Prediction Score	FET p value	ratio	B_term count	C_term count	B_C_counts	db total
TRYPAN BLUE	inflammation	0.06142	2.72710e-08	0.01124	26813	2135	24	9451155
TRYPAN BLUE	cell activity	0.04257	2.34775e-08	0.00562	6028	2135	12	9451155
DIAZEPAM	absorption	0.09047	2.82361e-14	0.01433	63595	8722	125	9451155
CEFAZOLIN	absorption	0.08963	1.98366e-07	0.02028	63595	1479	30	9451155
METHYSERGIDE	inflammation	0.08803	2.49022e-13	0.01447	26813	2211	32	9451155
QUININE	diet	0.08798	2.38377e-10	0.01716	58989	3030	52	9451155
QUININE	absorption	0.07746	4.82504e-08	0.01617	63595	3030	49	9451155
POLYMYXIN B	inflammation	0.08773	7.00028e-12	0.01570	26813	1656	26	9451155
POLYMYXIN B	acute phase response	0.02410	6.91527e-06	0.00242	665	1656	4	9451155
IMIPRAMINE	sex	0.08752	2.00741e-10	0.01696	73023	4776	81	9451155
DIMETHYL SULFOXIDE	absorption	0.08738	5.44242e-10	0.01731	63595	3235	56	9451155
DIMETHYL SULFOXIDE	inflammation	0.04386	3.94077e-06	0.00804	26813	3235	26	9451155
NF	diet	0.08528	9.43970e-09	0.01782	58989	2245	40	9451155
NF	pathogenesis	0.07140	9.98513e-07	0.01559	57792	2245	35	9451155
NF	acute phase response	0.04637	7.92757e-12	0.00356	665	2245	8	9451155
CODEINE	absorption	0.08476	1.42709e-06	0.01964	63595	1375	27	9451155
CODEINE	weight loss	0.05398	1.20335e-08	0.00873	8807	1375	12	9451155
DIPHENHYDRAMINE	inflammation	0.08366	4.29723e-10	0.01613	26813	1302	21	9451155
ISOTRETINOIN	inflammation	0.08310	4.76416e-07	0.01872	26813	641	12	9451155
DOPAMINE	diet	0.08245	2.35245e-16	0.01008	58989	32931	332	9451155
DOPAMINE	sex	0.05008	4.91746e-06	0.00996	73023	32931	328	9451155
DOPAMINE	cell activity	0.04514	2.92375e-13	0.00188	6028	32931	62	9451155
TERBUTALINE	absorption	0.08222	9.85253e-07	0.01875	63595	1600	30	9451155
IOTHALAMATE	oral intake	0.03734	8.04390e-06	0.00640	743	469	3	9451155
NITROGLYCERIN	bleeding	0.08144	4.06591e-14	0.01182	30415	4144	49	9451155
NITROGLYCERIN	wall thickening	0.02696	1.33976e-07	0.00169	845	4144	7	9451155
FLUVOXAMINE	weight loss	0.07966	6.23959e-06	0.01873	8807	267	5	9451155
ETRETINATE	healing	0.07716	2.00786e-07	0.01665	24294	781	13	9451155
METHYLDOPA	absorption	0.07607	2.36010e-06	0.01730	63595	1850	32	9451155
MIDAZOLAM	absorption	0.07574	4.15833e-06	0.01742	63595	1722	30	9451155
MEZLOCILLIN	bleeding	0.07562	1.80788e-06	0.01706	30415	762	13	9451155
VERAPAMIL	absorption	0.07479	8.78030e-11	0.01290	63595	9144	118	9451155
ACETYLCYSTEINE	inflammatory activity	0.04229	1.91866e-08	0.00546	1368	1099	6	9451155
DOBUTAMINE	wall thickening	0.07399	1.48883e-16	0.00741	845	1350	10	9451155
CHLORAMPHENICOL	absorption	0.07323	4.06949e-11	0.01214	63595	12024	146	9451155
CHLORAMPHENICOL	excision	0.04932	1.36490e-10	0.00557	21648	12024	67	9451155
PROPRANOLOL	bleeding	0.07142	4.91284e-16	0.00712	30415	18394	131	9451155
PROPRANOLOL	absorption	0.05363	3.42020e-07	0.00995	63595	18394	183	9451155
PROPRANOLOL	wall thickening	0.03906	2.44808e-12	0.00092	845	18394	17	9451155
COCAINE	sex	0.06963	9.64690e-08	0.01415	73023	6360	90	9451155
NITROUS OXIDE	absorption	0.06931	3.46307e-08	0.01365	63595	5347	73	9451155
DILTIAZEM	absorption	0.06761	6.21509e-07	0.01429	63595	3708	53	9451155
DILTIAZEM	wall thickening	0.02360	1.36225e-06	0.00162	845	3708	6	9451155
EPHEDRINE	weight loss	0.06745	1.83307e-10	0.01104	8807	1178	13	9451155
CYPROHEPTADINE	inflammation	0.06698	1.96642e-07	0.01365	26813	1245	17	9451155
PROPOXYPHENE	inflammatory activity	0.04365	1.33696e-06	0.00755	1368	530	4	9451155
NIFEDIPINE	absorption	0.06350	8.71248e-08	0.01231	63595	7391	91	9451155
NIFEDIPINE	oral intake	0.02448	1.85807e-07	0.00108	743	7391	8	9451155
NIFEDIPINE	wall thickening	0.01935	6.00232e-06	0.00095	845	7391	7	9451155
MINOCYCLINE	inflammation	0.05909	9.57301e-06	0.01287	26813	1010	13	9451155
GENTAMICIN	absorption	0.05890	5.31195e-07	0.01167	63595	8052	94	9451155
GENTAMICIN	intestinal continuity	0.03285	2.15428e-10	0.00087	171	8052	7	9451155
ATENOLOL	wall thickening	0.03431	6.35767e-09	0.00265	845	2638	7	9451155
NALIDIXIC ACID	faecal excretion	0.05710	1.63548e-14	0.00428	367	1869	8	9451155
NALIDIXIC ACID	excision	0.05561	1.35548e-07	0.01017	21648	1869	19	9451155
AMITRIPTYLINE	weight loss	0.04632	6.08593e-09	0.00619	8807	2583	16	9451155
AMPHETAMINE	weight loss	0.05390	2.80120e-13	0.00446	8807	7618	34	9451155
SODIUM NITROPRUSSIDE	bleeding	0.04940	3.62689e-06	0.00964	30415	2490	24	9451155
PHENYLEPHRINE	wall thickening	0.02332	7.60766e-07	0.00130	845	5383	7	9451155
CHLOROQUINE	disease activity	0.02627	9.93301e-07	0.00228	3493	5257	12	9451155
CHLOROQUINE	inflammatory activity	0.02325	1.39178e-06	0.00152	1368	5257	8	9451155
HYDRALAZINE	wall thickening	0.02706	1.13161e-06	0.00257	845	1946	5	9451155
HYALURONIDASE	inflammation	0.04571	7.07865e-07	0.00790	26813	3923	31	9451155
HYALURONIDASE	healing	0.04142	2.51081e-06	0.00714	24294	3923	28	9451155
ACETYLCHOLINE	pathogenesis	0.04779	8.91851e-07	0.00861	57792	25327	218	9451155
KANAMYCIN	excision	0.04743	8.62881e-08	0.00758	21648	3696	28	9451155
ISOPROTERENOL	wall thickening	0.04422	1.66940e-13	0.00139	845	10819	15	9451155
FENTANYL	bowel function	0.03255	2.22733e-09	0.00171	299	3505	6	9451155
PENTAZOCINE	weight loss	0.03859	6.69839e-06	0.00669	8807	1345	9	9451155
CLONIDINE	weight loss	0.03461	5.11898e-08	0.00357	8807	6715	24	9451155
CLONIDINE	linear growth	0.02205	1.02336e-06	0.00104	709	6715	7	9451155
ADENOSINE	bleeding	0.03768	1.39480e-07	0.00488	30415	35635	174	9451155
ADENOSINE	wall thickening	0.02434	4.53297e-08	0.00048	845	35635	17	9451155
ISOFLURANE	wall thickening	0.02603	1.58201e-06	0.00240	845	2085	5	9451155
SPECTINOMYCIN	faecal excretion	0.02850	5.36501e-06	0.00362	367	829	3	9451155
